"filename", "language", "Python", "comment", "blank", "total"
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/main.py", "Python", 0, 0, 1, 1
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/player_data.py", "Python", 30, 0, 0, 30
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/settings.py", "Python", 7, 3, 3, 13
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/game/game.py", "Python", 107, 11, 15, 133
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/game/load_characters.py", "Python", 30, 124, 3, 157
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/abilities/abilities.py", "Python", 106, 0, 11, 117
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/abilities/ability.py", "Python", -5, 0, -1, -6
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/character/character.py", "Python", 0, -16, -3, -19
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/floating_text/damage_text.py", "Python", 40, 0, 8, 48
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/menu/menu.py", "Python", 199, 1, 17, 217
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/overlay/draw_target_info.py", "Python", 28, 0, 3, 31
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/overlay/player_action.py", "Python", 48, 0, 6, 54
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/overlay/player_hp.py", "Python", 1, 0, 0, 1
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/overlay/player_turn_indicator.py", "Python", 32, 0, 6, 38
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/models/ui/overlay/player_turn_list.py", "Python", 31, 0, 4, 35
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/screen/player_detail_screen.py", "Python", 32, 0, 1, 33
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/util/custom_enum.py", "Python", 9, 0, 1, 10
"/Users/jacobcoker/Projects/pygame_projects/FF_Endless_Battle/source/util/util_functions.py", "Python", 65, 0, 8, 73
"Total", "-", 760, 123, 83, 966
